collection,key
property,100682
property,100227
property,100350
property,100270
property,100
lodging_type,2
lodging_type,7
lodging_type,5
lodging_type,8
destination,1001
destination,1200
destination,1108
neighborhood,10010
neighborhood,1056
neighborhood,10158
property,10002
property,10054
property,100159
property,100343
property,100253
property,100894
property,100570
lodging_type,2
lodging_type,O
destination,181
destination,1224
destination,1260
destination,1427
destination,1403
destination,1179
destination,1024
destination,1000
neighborhood,10575
neighborhood,10035
neighborhood,10003
neighborhood,10127
neighborhood,10167
property,100601
property,100756
property,100032
property,10031
property,100147
property,100241
property,100099
lodging_type,3
lodging_type,1
lodging_type,G
lodging_type,5
lodging_type,4
lodging_type,8
destination,1376
destination,1192
destination,1531
destination,1604
neighborhood,10586
neighborhood,10787
neighborhood,10178
neighborhood,10481
property,100847
lodging_type,3
lodging_type,2
lodging_type,1
lodging_type,6
lodging_type,5
lodging_type,4
lodging_type,R
destination,1669
destination,1037
destination,1462
neighborhood,10046
neighborhood,1084
neighborhood,10193
neighborhood,10785
neighborhood,100
neighborhood,10688
property,100003
property,100554
property,100026
property,100896
property,1000
property,100
lodging_type,3
lodging_type,2
lodging_type,T
lodging_type,O
lodging_type,8
destination,1001
destination,1007
destination,1006
destination,1231
destination,1029
destination,1473
destination,1062
destination,1060
neighborhood,10257
neighborhood,10617
neighborhood,10516
neighborhood,10487
neighborhood,10429
neighborhood,10468
neighborhood,10542
neighborhood,10189
property,100598
property,100441
property,100644
lodging_type,6
lodging_type,A
lodging_type,4
destination,163
destination,1453
destination,159
destination,1142
destination,1597
destination,1358
destination,156
destination,1310
neighborhood,10370
neighborhood,10657
neighborhood,100
neighborhood,10220
property,100323
property,100346
property,100129
lodging_type,3
lodging_type,2
lodging_type,T
lodging_type,G
lodging_type,C
lodging_type,4
lodging_type,R
lodging_type,H
destination,1110
neighborhood,10359
neighborhood,10102
neighborhood,10495
neighborhood,10111
neighborhood,10545
property,100678
property,100843
property,100430
property,100034
lodging_type,2
lodging_type,1
lodging_type,7
lodging_type,5
lodging_type,C
lodging_type,R
destination,1
destination,1363
destination,1121
destination,1084
destination,1384
destination,1642
neighborhood,10084
neighborhood,1024
property,100004
property,10015
property,100051
property,100207
property,100318
property,10019
destination,1661
destination,163
destination,1530
destination,1529
neighborhood,10084
neighborhood,10235
neighborhood,10329
property,100285
property,100389
lodging_type,3
lodging_type,1
lodging_type,7
lodging_type,4
lodging_type,O
destination,116
destination,1090
destination,1507
destination,1062
neighborhood,1
neighborhood,10097
neighborhood,10080
neighborhood,10306
property,100326
property,100669
property,100646
property,100387
property,100305
property,100463
lodging_type,2
lodging_type,1
lodging_type,H
destination,134
neighborhood,10001
neighborhood,10083
neighborhood,10288
neighborhood,10004
neighborhood,10168
neighborhood,10502
property,100028
property,100823
property,100007
lodging_type,3
lodging_type,6
lodging_type,5
lodging_type,H
destination,1647
destination,1443
destination,1092
destination,1749
destination,1218
destination,1163
destination,1015
neighborhood,10474
neighborhood,10534
neighborhood,1011
property,100075
property,10026
property,100496
property,100026
property,100835
property,100733
property,100022
property,100038
property,100
property,100298
lodging_type,T
lodging_type,A
lodging_type,4
destination,1383
destination,1034
destination,1484
destination,1085
neighborhood,10231
neighborhood,10195
neighborhood,10671
neighborhood,1012
property,10045
property,100418
lodging_type,1
